datetime,YEAR,MO,DY,HR,latitude,longitude,tilt,azimuth,system_capacity_kw,ghi,dni,dhi,temp_air,wind_speed,humidity,sun_elevation,sun_azimuth,sun_zenith,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temperature,dc_power_kw,ac_power_kw,energy_kwh,performance_ratio
2025-09-14 07:00:00+00:00,2025,9,14,7,40.79,-73.95,30,180,5.0,257.67,457.56,95.43,20.34,1.29,11.88,-37.050589910875,41.747978189868604,127.050589910875,93.35255641743247,0.0,93.35255641743247,89.0374021415745,4.31515427585796,23.31063893692981,0.07048753583492337,0.06766803440152644,0.06766803440152644,0.3501534748659212
2025-09-14 08:00:00+00:00,2025,9,14,8,40.79,-73.95,30,180,5.0,441.2,591.31,124.51,23.28,2.01,11.15,-28.472683637043605,56.392639151925664,118.4726836370436,123.55811049388845,0.0,123.55811049388845,116.16941151260025,7.388698981288205,27.062738976149067,0.0919039784794111,0.08822781934023466,0.08822781934023466,0.26662985596927974
2025-09-14 09:00:00+00:00,2025,9,14,9,40.79,-73.95,30,180,5.0,590.55,670.9,141.12,25.34,2.21,10.52,-18.416060169911077,68.52082772820046,108.41606016991108,141.55658971541746,0.0,141.55658971541746,131.66675249103,9.889837224387465,29.62759823001149,0.1042022412145225,0.1000341515659416,0.1000341515659416,0.22585533613510933
2025-09-14 10:00:00+00:00,2025,9,14,10,40.79,-73.95,30,180,5.0,683.03,682.34,161.02,26.78,1.66,10.19,-7.528621959234534,79.09775090960551,97.52862195923453,161.67228881532452,0.0,161.67228881532452,150.23370525868518,11.438583556639353,31.8233972338262,0.1179447538666269,0.11322696371196181,0.11322696371196181,0.22102877611420055
2025-09-14 11:00:00+00:00,2025,9,14,11,40.79,-73.95,30,180,5.0,731.33,715.85,159.77,27.85,1.06,10.02,3.745424619484592,88.98276766266667,86.05798991411487,197.59482092015222,36.279926357541505,161.3148945626107,149.0674393813199,12.247455181290805,34.21614643528043,0.14273292727675474,0.13702361018568454,0.13702361018568454,0.24981628938269462
2025-09-14 12:00:00+00:00,2025,9,14,12,40.79,-73.95,30,180,5.0,708.78,680.65,172.96,28.44,0.88,9.97,15.053473756404228,98.95952501290162,74.88591275798997,378.10835818140947,204.86466697392302,173.24369120748648,161.37387691927827,11.869814288208191,40.74072001744762,0.26572617522888603,0.2550971282197306,0.2550971282197306,0.47988022276725373
2025-09-14 13:00:00+00:00,2025,9,14,13,40.79,-73.95,30,180,5.0,622.45,684.35,186.92,28.67,0.92,9.94,26.033844043685413,109.86801130680186,63.932092732555304,549.7209792077049,364.89818404321426,184.82279516449066,174.39873423769365,10.424060926797017,46.51513930443119,0.3768087640671124,0.36173641350442787,0.36173641350442787,0.774865801278663
2025-09-14 14:00:00+00:00,2025,9,14,14,40.79,-73.95,30,180,5.0,503.02,479.1,199.63,28.6,1.07,9.9,36.20223060462616,122.76138001560605,53.77491309333125,544.4508185604599,349.7695052081721,194.68131335228773,186.25732567874377,8.423987673543955,46.13177056431996,0.37382248457621736,0.35886958519316864,0.35886958519316864,0.9512400704893605
2025-09-14 15:00:00+00:00,2025,9,14,15,40.79,-73.95,30,180,5.0,353.0,375.75,178.87,28.11,1.27,9.9,44.794446810348575,138.97167520982276,45.188670802215775,502.68739929370554,329.8877882482326,172.79961104547294,166.8879819874613,5.911629058011642,44.123600151239486,0.3481759709948013,0.3342489321550092,0.3342489321550092,1.2625077701794494
2025-09-14 16:00:00+00:00,2025,9,14,16,40.79,-73.95,30,180,5.0,176.32,188.82,126.82,27.28,1.24,10.14,50.61540925861322,159.58720590938037,39.37082151763919,303.8170043591018,182.53953340453958,121.27747095456223,118.32467085397126,2.952800100590971,36.97402527516418,0.2169490158016647,0.2082710551695981,0.2082710551695981,1.574947483133682
