YEAR,MO,DY,HR,QV2M,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,T2M
2025,9,16,16,7.7,112.45,3.75,97.36,0.28,22.3
2025,9,16,17,8.12,17.02,3.3,16.62,0,20.63
2025,9,16,18,8.5,0,2.99,0,0,18.92
2025,9,16,19,8.84,0,3.09,0,0,18.3
2025,9,16,20,9.17,0,3.27,0,0,17.91
2025,9,16,21,9.5,0,3.37,0,0,17.48
2025,9,16,22,9.72,0,3.27,0,0,17.16
2025,9,16,23,9.82,0,3.13,0,0,17.1
2025,9,17,0,9.89,0,3.02,0,0,17.06
2025,9,17,1,9.92,0,3.07,0,0,16.84
2025,9,17,2,9.93,0,3.23,0,0,16.74
2025,9,17,3,9.95,0,3.43,0,0,16.79
2025,9,17,4,9.95,0,3.52,0,0,16.8
2025,9,17,5,9.95,0,3.75,0,0,16.75
2025,9,17,6,9.78,59.12,3.9,47.32,75.73,16.88
2025,9,17,7,9.21,138.68,3.92,99.1,133.44,17.39
2025,9,17,8,8.58,216,3.94,146.33,187.34,18.14
2025,9,17,9,8.45,230.1,3.85,181.85,57.75,19.16
2025,9,17,10,8.87,262.55,3.77,206.28,56.96,20.19
2025,9,17,11,9.53,221.5,3.7,180.8,10.93,20.95
2025,9,17,12,10.11,266.38,3.57,188.09,62.91,21.44
2025,9,17,13,10.57,154.38,3.4,126.39,21.49,21.97
2025,9,17,14,10.92,185.12,3.15,131.44,67.45,22.42
2025,9,17,15,11.17,123.55,2.95,93.07,49.99,22.56
2025,9,17,16,11.38,64.82,2.73,49.57,33.71,22.21
2025,9,17,17,11.73,14.62,2.13,14.62,9.81,21.01
2025,9,17,18,11.68,0,1.94,0,0,19.58
2025,9,17,19,11.74,0,2.08,0,0,19.02
2025,9,17,20,11.7,0,2.13,0,0,18.59
2025,9,17,21,11.59,0,2.04,0,0,18.17
2025,9,17,22,11.52,0,2.05,0,0,17.62
2025,9,17,23,11.54,0,1.98,0,0,17.2
2025,9,18,0,11.59,0,1.86,0,0,17.08
2025,9,18,1,11.58,0,2.01,0,0,17.1
2025,9,18,2,11.45,0,2.11,0,0,16.88
2025,9,18,3,11.27,0,2.06,0,0,16.54
2025,9,18,4,11.07,0,1.88,0,0,16.09
2025,9,18,5,10.88,0,1.71,0,0,15.62
2025,9,18,6,10.94,84.6,1.94,51.73,214.67,16.57
2025,9,18,7,11.15,217.15,1.48,82.96,431.92,18.58
2025,9,18,8,10.97,382.83,1.57,129.97,519.81,21.84
2025,9,18,9,10.53,557.17,1.39,122.63,693.8,24.4
2025,9,18,10,10.23,709.25,1.14,121.05,810.97,26.33
2025,9,18,11,9.87,739.08,1.09,137.1,768.22,27.79
2025,9,18,12,9.73,753.03,1.33,93.31,883.83,28.78
2025,9,18,13,9.65,679.33,1.65,81.86,858.04,29.45
2025,9,18,14,9.52,558.75,1.86,77.7,818.36,29.69
2025,9,18,15,9.41,397.15,1.88,70.07,739.88,29.39
2025,9,18,16,9.65,211.73,1.68,54.96,583.74,28.5
2025,9,18,17,10.74,40.05,1.39,21.64,193.32,25.84
2025,9,18,18,10.51,0,1.6,0,0,23.21
2025,9,18,19,10.74,0,1.65,0,0,21.87
2025,9,18,20,10.77,0,1.59,0,0,20.55
2025,9,18,21,10.7,0,1.72,0,0,19.29
2025,9,18,22,10.5,0,1.81,0,0,18.64
2025,9,18,23,10.24,0,2.01,0,0,18.25
2025,9,19,0,9.99,0,2.17,0,0,18
2025,9,19,1,9.9,0,2.34,0,0,17.99
2025,9,19,2,9.96,0,2.46,0,0,18.35
2025,9,19,3,10.07,0,2.34,0,0,18.17
2025,9,19,4,10.24,0,2.27,0,0,17.74
2025,9,19,5,10.44,0,2.24,0,0,17.27
2025,9,19,6,10.69,88.43,2.38,53.29,187.53,18.34
2025,9,19,7,11.04,264.33,2.2,89.3,509.31,20.86
2025,9,19,8,11.54,445.15,2.83,106.03,667.44,24.48
2025,9,19,9,11.24,595.85,3.05,116.87,742.34,26.63
2025,9,19,10,10.71,704.92,3,118.83,795.99,27.92
2025,9,19,11,10.32,764.72,2.85,107.97,868.17,28.85
2025,9,19,12,9.99,701.38,2.71,171.01,674.96,29.55
2025,9,19,13,9.65,666.42,2.62,103.24,822.27,29.99
2025,9,19,14,9.31,480,2.51,164.78,507.89,30.06
2025,9,19,15,9.04,317.9,2.4,140.16,383.03,29.57
2025,9,19,16,9.04,149.88,2.2,85.68,214.78,28.58
2025,9,19,17,9.63,24.9,1.74,20.74,27.59,25.99
2025,9,19,18,9.3,0,2.14,0,0,23.11
2025,9,19,19,9.07,0,2.7,0,0,22.09
2025,9,19,20,8.76,0,2.81,0,0,20.89
2025,9,19,21,8.33,0,2.93,0,0,19.73
2025,9,19,22,7.94,0,3,0,0,18.66
2025,9,19,23,7.74,0,3,0,0,17.69
2025,9,20,0,7.74,0,2.96,0,0,16.87
2025,9,20,1,7.71,0,2.89,0,0,16.09
2025,9,20,2,7.69,0,2.87,0,0,15.35
2025,9,20,3,7.69,0,2.78,0,0,14.61
2025,9,20,4,7.69,0,2.74,0,0,13.93
2025,9,20,5,7.69,0,2.76,0,0,13.32
2025,9,20,6,7.6,91.72,3.24,54.96,209.88,13.92
2025,9,20,7,6.85,276.23,3.86,86.93,553.18,16.13
2025,9,20,8,6.01,465.15,3.98,99.88,719.63,18.57
2025,9,20,9,5.73,604.1,3.46,131.54,727.65,20.62
2025,9,20,10,5.72,728.92,2.82,94.52,881.68,22.24
2025,9,20,11,5.71,783.2,2.21,86.57,916.45,23.43
2025,9,20,12,5.67,744.7,1.76,143.71,789.83,24.29
2025,9,20,13,5.6,684.8,1.5,95.18,868.22,24.81
2025,9,20,14,5.58,535.92,1.41,134.79,668.95,24.91
2025,9,20,15,5.55,367.23,1.47,122.23,546.41,24.69
